series,date,rolling_beta,extreme_type
MSFT_rolling_beta,2018-10-25,1.481136,highest
MSFT_rolling_beta,2018-10-26,1.472086,highest
MSFT_rolling_beta,2018-11-29,1.459684,highest
MSFT_rolling_beta,2018-11-28,1.459046,highest
MSFT_rolling_beta,2018-10-29,1.458727,highest
MSFT_rolling_beta,2025-12-22,0.875141,lowest
MSFT_rolling_beta,2025-12-23,0.875228,lowest
MSFT_rolling_beta,2025-12-31,0.876948,lowest
MSFT_rolling_beta,2025-12-24,0.878043,lowest
MSFT_rolling_beta,2025-12-30,0.879002,lowest
LMT_rolling_beta,2020-03-17,0.94776,highest
LMT_rolling_beta,2020-03-12,0.912315,highest
LMT_rolling_beta,2020-03-16,0.902862,highest
LMT_rolling_beta,2020-03-23,0.892225,highest
LMT_rolling_beta,2020-03-26,0.890977,highest
LMT_rolling_beta,2024-10-09,-0.113026,lowest
LMT_rolling_beta,2024-10-10,-0.109273,lowest
LMT_rolling_beta,2024-10-14,-0.106393,lowest
LMT_rolling_beta,2024-10-11,-0.105595,lowest
LMT_rolling_beta,2024-10-15,-0.094963,lowest
